id,original,team,surface,pronunciation,type,org_id,image,image_page
29,相原守,国鉄,守,マモル,given,29,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_19205b07e8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_19205b07e8.svg
30,相本和則,日拓-日本ハム,相本,アイモト,family,30,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2776810f08.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2776810f08.svg
30,相本和則,日拓-日本ハム,相本和則,アイモトカズノリ,full,30,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2776810f08.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2776810f08.svg
30,相本和則,日拓-日本ハム,和則,カズノリ,given,30,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2776810f08.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2776810f08.svg
31,ティム・アイルランド,広島,アイルランド,アイルランド,family,31,http://commons.wikimedia.org/wiki/Special:FilePath/Tim_Ireland_-_Omaha_Royals_-_1980.jpg,https://commons.wikimedia.org/wiki/File:Tim_Ireland_-_Omaha_Royals_-_1980.jpg
31,ティム・アイルランド,広島,ティム・アイルランド,ティム・アイルランド,full,31,http://commons.wikimedia.org/wiki/Special:FilePath/Tim_Ireland_-_Omaha_Royals_-_1980.jpg,https://commons.wikimedia.org/wiki/File:Tim_Ireland_-_Omaha_Royals_-_1980.jpg
31,ティム・アイルランド,広島,ティム,ティム,given,31,http://commons.wikimedia.org/wiki/Special:FilePath/Tim_Ireland_-_Omaha_Royals_-_1980.jpg,https://commons.wikimedia.org/wiki/File:Tim_Ireland_-_Omaha_Royals_-_1980.jpg
32,青井要,南海-ダイエー,青井,アオイ,family,32,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_75b6cc5479.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_75b6cc5479.svg
32,青井要,南海-ダイエー,青井要,アオイカナメ,full,32,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_75b6cc5479.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_75b6cc5479.svg
32,青井要,南海-ダイエー,要,カナメ,given,32,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_75b6cc5479.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_75b6cc5479.svg
33,青池良正,近鉄,青池,アオイケ,family,33,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_7534e35df5.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_7534e35df5.svg
33,青池良正,近鉄,青池良正,アオイケヨシマサ,full,33,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_7534e35df5.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_7534e35df5.svg
33,青池良正,近鉄,良正,ヨシマサ,given,33,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_7534e35df5.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_7534e35df5.svg
